देवनागरी	IAST	"Часть речи"	Примеры	Синонимы	Периоды/Тексты	Сочетаемость	Метка
अपिक्रित्	apikrit	m.					
अपियत्	apiyat	m.f.n.					
अपिवातयत्	apivātayat	m.					
अपिवृत्	apivṛt	m.					
अपीजू	apījū	n.adj.					
अपुच्छा	apucchā	"f. +"					
अपूर्ब्ववत्	apūrbvavat	m.					
अप्रकाशन्त्	aprakāśant	m.					
अप्रतिगृह्णन्त्	apratigṛhṇant	m.					
अप्रतिबोधवत्	apratibodhavat	m.f.n.					
अप्रमाद्यन्त्	apramādyant	m.					
अप्रयच्छन्त्	aprayacchant	m.					
अप्रयुच्चत्	aprayuccat	m.					
अप्लवत्	aplavat	m.f.n.					
अबन्धुकृत्	abandhukṛt	m.f.n.adj.					
अबिभ्यत्	abibhyat	m.f.n.adj.					
अब्रुवन्त्	abruvant	m.					
अभयकृत्	abhayakṛt	m.					
अभयङ्कृत्	abhayaṅkṛt	m.					
अभवत्	abhavat	m.					
अभावयन्त्	abhāvayant	m.					
अभिगच्छत्	abhigacchat	m.f.n.					
अभिजितः	abhijitaḥ	m.					
अभिदधत्	abhidadhat	m.f.n.					
अभिनवोद्भित्	abhinavodbhit	m.					
अभिमातिजित्	abhimātijit	m.f.n.adj.					
अभिवात्	abhivāt	m.					
अभिवाशत्	abhivāśat	m.f.n.					
अभिष्टिकृत्	abhiṣṭikṛt	m.f.n.adj.					
अभिष्टुवत्	abhiṣṭuvat	m.f.n.					
अभिष्यत्	abhiṣyat	m.n.m.f.n.					
अभिष्वन्त्	abhiṣvant	"m. +"	"     2"	+	1/1	+	
अभिश्चुत्	abhiścut	m.					
अभिसंचिन्त्	abhisaṁcint	m.					
अभिसंपत्	abhisaṁpat	m.					
अभिसम्प्रवृत्	abhisampravṛt	m.					
अभिह्रत्	abhihrat	m.					
अभिह्व्रत्	abhihvrat	m.					
अभीपत्	abhīpat	m.					
अभीषुमन्त्	abhīṣumant	"m. +"					
अभीशुमत्	abhīśumat	m.					
अभुंजत्	abhuṁjat	m.					
अभुज्	abhuj	"adj. +"	"     2"		2/2	+	
अभुज्	abhuj	"adj. +"	"     2"		2/2	+	
अभोजयन्त्	abhojayant	m.					
अभ्यर्त्	abhyart	m.					
अभ्यसूयत्	abhyasūyat	m.					
अभ्यासवत्	abhyāsavat	m.					
अभ्यासवन्त्	abhyāsavant	"m. +"	"     2"		1/2	+	
अभ्युल्लसत्	abhyullasat	m.f.n.					
अमद्यमद्यत्	amadyamadyat	m.					
अमानयन्त्	amānayant	m.					
अमावस्यत्	amāvasyat	"m. +"	"     1"		3/4/1	+	
अमितबुद्धिमन्त्	amitabuddhimant	m.					
अमित्रजित्	amitrajit	"m. +"	"     3"		2/2	+	
