akṣ	akṣṇuhi ākṣiṣuḥ akṣat ākṣāṇa 
dhā	dadhāti dhatte dhehi hita dadhāna dadhat dadhe dadhire dadhātu dhattam dhīmahi dhīyate dhīmahi dadhāmi dadhuḥ dhāḥ dadhiṣe dadhe dhatta dhāyi adadhāt dadhyāt adadhuḥ adhatta dadhāni dhāḥ adhāyi dadhati dadhat dadhati dadhau dadhātana dadhāta dhuḥ dhāt dhayat adhāt dadhīta dhīyante dhāt dadhmasi dadhāsi adhattam adhatthāḥ dhātum dadhmaḥ dhāsyati dhiṣva dhīta adadhāḥ dhīyatām dadhāte dadhiṣva dhayati dhāsyasi dadhe dadhidhve dhattām dhattana dadhate dadhate adhayat dhattha adhām adhita dadhaḥ dhaya dhātave dhatthaḥ dhatse dhatsva adadhat dhātu dhattāt dadhāthe dhāta adhithāḥ dhayanti dhattaḥ dhāsyāmi dadhatu dhāti dadhre dadhidhvam dhāmahe dadhīmahi dhiṣe dhāsyati adadhām adhattām adhāḥ dadhatuḥ dadha dadhyuḥ dhattām dadhanti dadhatām dheyām dhetana dadhase dhat dadhantu dhire dheya dadhat dhayet dhāsyanti adhātām adhuḥ dadhau dadhathuḥ dadhima dhāsye dadhyām dadhate dadhāma adhīyata adhīyanta adhītām adhīmahi dadhathaḥ dadhīthāḥ dhām dadhāni dadhāma dadhan dheyuḥ dhāma dhātu dhātam dhāta dhātana dhāntu dadhāvahai dhātam dhāntu dhethe dhaithe dhāsathaḥ dhāsatha dadhātha dadhete dhātam dhāsuḥ adadhāta dhitvā dhiyadhyai dhātave 
dhāpay	dhāpaya dhāpayete dhāpayat dhāpayante 
dhāmay	dhāmayet dhāmyamāna dhāmita dhāmyatām dhāmayitvā 
dhāray	dhārayet dhārayat dhārayati dhārya dhāryate dhāraya adhārayat dhārayanti dhārita dhārayate dhārayiṣyanti dhārayitum dhārayiṣyati dhārayāmāsa dhārayitvā dhārayāmi dhārayiṣyāmi dhārayitavya dhāryamāṇa adhārayan dhāryante dhārayan dhārayasi dhāryatām dhārayamāṇa adhārayaḥ dhārayiṣye dhārayat dhārayatu adhārayam dhārayeta dhārayeyuḥ dhārayantu dhārayiṣyasi dhāraye dhārayase dhārayāmāsuḥ dhārayat adhārayanta dhārayanta dhārayam dhārayan dhārayataḥ dhārayeḥ dhārayatam dhārayiṣyāmaḥ dhārayante dhārayasva dhārayadhvam dhārayaḥ dhārayeyam dhārayāma dhārayiṣyatha dhārayethāḥ dhāryeta dhārayīta adhārayata dhārayanta dhārayathaḥ dhārayāmaḥ dhārayatha dhārayetām dhārayatām dhārayata adhārayāva adhārayatam dhārayiṣyataḥ dhārayethe dhārayāmāsatuḥ dhārayiṣyate dhārayitāsmi dhārayitā dhārayatām dhārayethām dhārayāte dhārayatāt dhārya dhārayiṣyat dhārayāṇa dhāritavat 
dhāv	dhauta dhāvat dhāvati dhāvamāna dhāvanti dhāvasi dhāvata adhāvat dhāvatu dhāvita dhāvat dhāvataḥ adhāvata dhāvet dhāvitvā dhāva dhāvamāna dhāvate adhāvatām adhāvan dhāveta dhāvate dhāvatu dhāvatha dhāveyuḥ dhāvatam dhāvantu dhāvyatām dhāvan adadhāvat dhāvāt dhāvitum dhāvante adhāviṣṭa dhāvati dhāvet adhāvata dhāvatam dhāvata dhāvat dhāvanīya 
dhāvay	dhāvayet dhāvayat dhāvaye dhāvayitvā dhāvayataḥ dhāvayanti adhāvayat dhāvayiṣye dhāvita 
dhi	dhinoti adhinot adhinvīt 
dhits	dhitsathaḥ dhitset 
dhī	dīdhyāna dīdhaya dhīta dīdhye adīdhayuḥ dīdhyat dīdhīthām adīdhet dīdhet dīdhayaḥ dīdhayan dīdhiyuḥ dīdhīthāḥ dīdhyaḥ 
dhū	dhūta dhunvat dhunīta dhūyamāna dhunoti dhuta dhunāna dhunvāna dhūnvat dhunute dhūnute dhūnuhi dhūtvā dhūnutha dudhuvuḥ dhūnoti adhūnvan dhunvanti dhunīyāt dudhuve dūdhot adhūnot adhūnutam dudhāva dhūyate dhūyante dhunanti adhunāḥ dhunuvāte dhunuyāt dhunvīta dhūnāti dhūnu dhūnutā dhūnuṣe adhūṣata adhauṣīt dhuvāmi dhūyatām dhūnavat adhūnuthāḥ adhūnuta dudhuvīta dhunat 
dhūnay	dhūnayet dhūnayatu dhūnayāmāsa dhūnayasva dhūnita 
dhūpay	dhūpita dhūpayet dhūpayitvā dhūpyate dhūpyeta dhūpayati dhūpya dhūpyamāna dhūpitavat 
dhūmāy	dhūmāyamāna dhūmāyante dhūmāyate dhūmāyati dhūmāyeta dhūmāyat 
dhūlay	dhūlayet 
dhṛ	dhṛta dhṛtvā dadhāra dādhāra dhriyamāṇa dadhre dhārya dhriyate dhriyatām dhāraṇīya dhriyante dhṛtavat dhariṣyati dharanti dhartā adīdharat dadhrire adhriyanta dhṛtya dharati dhariṣyanti adhriyata dhartavya dharāmi dhariṣyāmi adīdharan dhriyase dharet didhṛtam dādhartha dīdharat dharitum dhariṣyasi dadhara dhara dadhre dhriyasva dhriyetām dharate dhareta dhariṣye dhariṣyase dhariṣyete dhriyeta dhrīyeta dīdharat didhṛta dhṛthāḥ dīdhaḥ dīdharam dīdharaḥ dharamāṇa dhriyat 
dhṛṣ	dhṛṣṭa dhṛṣat dhṛṣita dadharṣati dhṛṣat dadharṣa dadhṛṣvas dadhṛṣuḥ dadharṣīt dharṣaṇīya dhṛṣṇumaḥ dadhṛṣatuḥ dhṛṣṇuhi dadhṛṣanta dādhṛṣuḥ dadhṛṣate dharṣamāṇa dharṣitum dhṛṣṭavat dhṛṣamāṇa dhṛṣāṇa 
dhmāpay	dhmāpayet dhmāpita dhmāpayitvā dhmāpayāmi dhmāpayitum 
dhyā	dhyātvā dhyāyat dhyāyet dhyeya dhyāta dadhyau dhyāyati dhyāyanti dhyāyamāna dhyāyate dhyāyate dhyāyasva dhyātavya dhyāyasi dhyāyīta dhyāyamāna dhyātum dhyāhi dhyāyāmi dhyāyantu adhyāyaḥ dadhyuḥ dhyāyante dhyāsyāmi dhyāsyati dhyāyeta dhyāyataḥ dhyāyatha dhyāyeyuḥ adhyāyam adhyāyat dhyāye dhyāyase dhyāyemahi dhyātu dhyāta dhyāmi dhyāti dhyāya dhyāyita dhyātavat dhyāyam 
dhyāpay	dhyāpayanti 
dhvaṁs	dhvasta dhvaṃsante dhvaṃsa dhvaṃsamāna dhvaṃsati dhvaṃseta dhvaṃsasva dhvaṃsate dadhvaṃsire dadhvase 
dhvaṁsay	dhvaṃsayitvā dhvaṃsita dhvaṃsayati dhvaṃsayantu adhvaṃsayat adhvaṃsayāva dhvaṃsayāmāsa dhvaṃsayiṣyati 
dhvan	dhvanat dhvanita dhvanati dhvananti dhvānta adhvanīt dhvanate dadhvāna dadhvanuḥ 
dhvanay	dhvanayati dhvanayat dhvanayīt dhvanita 
nakṣ	nakṣati nakṣanta nakṣante nakṣamāṇa nanakṣe nakṣat nakṣat nakṣanti anakṣan nakṣan nakṣata nakṣasva nakṣathaḥ nakṣataḥ nanakṣuḥ nakṣase nakṣate nakṣāmahe nakṣatu 
nad	nadat nanāda neduḥ anadat nadanti anadan nadati nedire nedatuḥ naditvā nedivas nadataḥ nada nadata anadata nadiṣyāmi nanaduḥ nadadhvam 
nand	nananda nandanti nandati nananduḥ nandita nanandatuḥ nandāmi nandasi nandat nandantu anandat nandate nandeva nanda nandāma nandiṣyati nandase anandanta nandamāna 
nanday	nandayat nandayiṣyāmi nandayatu nandayāmāsa nandaya nandayanti anandayat nandayati nandayataḥ nandayāmaḥ anandayan nandayiṣyati nandayiṣyathaḥ nandayāmāsatuḥ nandayasva nandayate nandayiṣye nandayiṣyat nandayitvā 
nam	nata natvā namāmi nanāma namet namanti namat namati nama namate name namantām namantu namanta namasva anaman nemuḥ namante namāmaḥ namāma namadhvam nameyuḥ namata anamat nameta nemire nānāma nanamaḥ namāmasi namaḥ nantum nameyam anamam namete nameran anamanta neme namyatām namyante anaṃsīt nānāma naṃsai naṃsante nīnamaḥ anannamuḥ namya namanīya namyamāna namitvā 
namay	namita namayat namayitvā namayati namayet namayāmasi namayanti anamayat namayitum 
nartay	nartita nartayat nartayati nartayāmi nartayasi nartaya nartayatu nartayante nartayethāḥ nartayāna 
nard	nardat nardamāna nanarda nardanti nardet nardati nardantu nanarduḥ nardate nardante nardita 
narday	nardayati nardayat 
naś	naṣṭa naśyati naśyanti naśyate naśyet ānaṭ naśyat naśat naśyatu naśyantu nanāśa naśyeta naśyate naśyeyuḥ naśiṣyati anīnaśat neśuḥ anaśat naśan naśate naśat nīnaśaḥ naśanta naśyante neśat ānaṭ naśīmahi naṅkṣyati naśyamāna naśya naśiṣyasi anīnaśam naṅkṣyanti naśāmahai naśyasi naśyata naśiṣyanti anīnaśan naśyante naśīḥ naśyatād naśanti naśatha naśanti anaṣṭām naṃśi naṭ nakṣat nakṣi naśyataḥ naśyeyam naśyetām anīnaśaḥ naśyase naśyatām naśyadhvam anaśyata naśet naṅkṣyāmahe nakṣyati naśāmi aneśan naṣṭavat 
nas	nasate nasanta nasāmahe nasīmahi 
nah	naddha nahyati nahyāmi nahya nahyata nahyanti nahyatam nahyatām nahyatana nahyadhvam 
nāṭay	nāṭayati nāṭayat nāṭayitavya 
nāday	nādita nādayat anādayan anādayat nādayāna nādayati nādayeyuḥ nādayāmāsa nādayāmāsuḥ nādayan nādyamāna 
nāmay	nāmayet nāmita anāmayat nāmya nāmayati nāmyate nāmyante nāmayat nāmayitvā nāmya nāmyamāna 
nāyay	nāyayet nāyita nāyayitvā 
nāśay	nāśayet nāśayati nāśaya nāśita nāśayanti nāśayāmi nāśayat nāśayāmāsa nāśayiṣyāmi nāśayiṣyati nāśayāmasi nāśayate nāśayitum nāśayetām nāśayantu nāśayitvā nāśayeyuḥ nāśayatu nāśayata nāśayiṣyanti nāśayitāsmi nāśayasi nāśayāmaḥ nāśayatha anāśayaḥ anāśayat anāśayan nāśayiṣyasi nāśayeta nāśayadhvam anāśayetām nāśayāmāsuḥ nāśayitā nāśyate nāśya nāśitavat nāśayadhyai 
nāhay	nāhayet 
nij	nikta anijam ninikta nikṣva nijyat 
ninīṣ	ninīṣati ninīṣet ninīṣat ninīṣate ninīṣasi ninīṣanti ninīṣāmi 
nind	nindita nindya nindat nindanti nindati nindyamāna nindet nindyate nininda nindeta ninditum nindasi ninda nindantu nininduḥ anindata nindima nindya nindanīya nindamāna nindāmi nindeyuḥ nindata nindate nindasva nindat nindyeta anindiṣuḥ niniduḥ nindiṣat ninditā nindāt ninditvā nidāna nidyamāna 
nī	nīta nayet nītvā anayat nayati naya nayanti nīyate nināya netum ninye nīyamāna nayāmi nayatu nayat ninyuḥ neya nīyatām anayan nayasva neṣyāmi neṣyati neṣi nītavat nayata nayate nīyante anīyata nayiṣyāmi nayāmasi nayantu anaiṣīt nayiṣyati nayasi anayam nīyase netā nayatha nayeyuḥ neṣyate neṣat nyeti nayeyam nayatam anaiṣam nayante nayeta anayanta nayiṣye neṣyanti neṣye nayāti nayāmaḥ nayetām neṣyasi nayatām nayadhvam aneṣata nayat nayamāna nayitum niyanti nayathaḥ nayataḥ nayāva anayaḥ neṣyāmaḥ ninetha ninyathuḥ nayase nayiṣyasi anāyi nīyeta neṣatha ninīyāt neṣaḥ nayat neṣyat netavya netoḥ nayāvaḥ nayāma anayata neṣyatha ninyatuḥ nīye naye nayāmahe nayethāḥ nīyantām ninīṣe ninyire netāsmi netāraḥ nayiṣyanti anīye anīnayat aneṣmahi naiṣīt neṣati netha anītām nayaḥ neṣṭa naiṣṭa nayanta nayāsai nayāthaḥ anayīt nayāsi nītavya neṣaṇi nītya 
nu	anaviṣṭa 
nud	nunna nudasva nudate nuda anudanta nudat nutta nudati nunude nudāmi nudet nudatu nudata nunoda anudetām nunudre notsyāvahai nudyamāna nudāmaḥ nude nudethe nudyate anudata nudatām nudanti nudatam nudantu nudāmahe nudante anudethām nudethām nudadhvam nutthāḥ nudiṣṭhāḥ nudanta nudāmasi nudita 
nū	anūṣata nuta navanta navante naumi anavanta numaḥ nutvā navamāna navāmahe anūṣi anūṣātām anāvan anūnot nūnot nūṣata nuvat nūta navat navya 
nṛt	nṛtyat nanṛtuḥ nṛtyanti nanarta nṛtyamāna nṛtyati nṛtyet nṛtta nṛtya nṛtyate nṛtyāmi anartiṣuḥ nṛtyante anṛtyanta nṛtyatām nṛtyeran nṛtyāmaḥ nṛtyatu nṛtyāva nṛtyata nṛtyantu anṛtyan nartiṣyanti anṛtyetām nṛtuḥ nartitum nṛtamāna 
nenij	nenijyāt nenikte nenigdhi nenijyuḥ nenijat 
nenīy	nenīyate nenīyamāna 
noday	nodita 
nonāv	nonumaḥ anonavuḥ navīnot nonavīti nonāva nonuvuḥ nonuvanta 
paṭh	paṭhet paṭhanti paṭhat paṭhita paṭhyate paṭhati paṭhate paṭhitvā paṭhyante paṭheta paṭhyamāna apaṭhat papāṭha paṭha paṭheyuḥ paṭhiṣyati paṭhiṣyanti paṭhyase paṭhatām paṭhadhvam paṭhitavya paṭhanīya paṭhitum paṭhamāna paṭhatu paṭhiṣyāmi paṭhiṣyasi paṭhiṣyāmaḥ paṭhante paṭhasva paṭhyatām apaṭhyata 
paṇ	paṇatu paṇāvahe paṇasva paṇadhvam paṇyate paṇāvaḥ paṇyatām paṇitvā paṇitavya paṇitum 
pac	pacet pacyāt pācya paktvā pacyate pacyamāna pacati pacyante pacanti paca pacat apacat pacanīya paktum paktavya pacata apakṣyan apacanta pacāmi pacasi paceta pacasva pācanīya pacyeta pacate pakṣyate pacāti pakṣat pacyat pacamāna pacataḥ paceyam paceḥ paceta pacāni pacāma pacantu apacan pakṣyanti papāca pecuḥ pacyase pacyatām pacyanti pace pacete apacyanta pacāt pece pacat apeciran pacya paktave pakta 
pat	patita papāta patat patati patanti apatat petuḥ patet apatan pata patamāna petatuḥ patate patatu patitvā patiṣyati patitum patasi patitā pateyam patantu patyamāna apatanta patiṣyat patathaḥ patiṣyanti patatām patāti apaptat apatam patiṣyāmi apaptan patanīya patatam patiṣyasi patiṣye patāt patāmi pateyuḥ apīpatat papāta petathuḥ patante patasva patitāsmi patitāsi pete patyate paptan paptuḥ patitavya petivas patataḥ patāmaḥ patatha patāma patata apatatām patiṣyataḥ patiṣyāmaḥ pate patase patiṣyate apatata patethāḥ pateta apatiṣyaḥ patān paptaḥ paptat paptima paptata patat papatyāt patan patiṣyamāṇa patitavat paptivas pattave 
pad	padyate padye padīṣṭa padyatām apadyata panna padyasva pādi padyante padyeran papāda patthāḥ padyantām patsyate padyase padāti apadran patsi 
pan	pananta panitāraḥ papne paniṣṭa papana panita 
palāy	palāyante palāyamāna palāyat palāyya palāyate palāyase palāyita palāyitum palāyadhvam palāyata palāyanta palāyiṣṭa palāyathāḥ palāyeta palāyasva palāyati palāyamāṇa palāye palāyethāḥ palāyeran palāyatām palāyantām apalāyata apalāyanta palāyāmi apalāyan palāyiṣyase palāyiṣyate palāyitavya 
paś	paśya apaśyat paśyet apaśyam paśyati paśyat apaśyan apaśyāma paśyata paśyasi paśyantu spaṣṭa paśyeyam apaśyata paśyanti paśyāmi paśyema paśyatu paśyadhvam paśyamāna apaśyanta paśyate paśyata paśyasva paśyeta paśyatha paśyāma paśyāma apaśyatām paśyāmaḥ paśyāmahe paśyeḥ paśyeyuḥ paśye paśyataḥ paśyethāḥ paśyamāna paśyase paśyate apaśyetām paśyāhi paśyat paśyetām apaśyaḥ apaśyāva paśye paspaśe paśyāvaḥ paśyāni paśyatām paśyeran paśyāt paśyāsi paśyetam paśyāva paśyatām apaśyata paśyante paśyase paśyāmahe paśyante paśyantām paśyemahi paśyatām paśyān aspaṣṭa paśyāḥ paśyāmasi paśyan paspaśāna 
pā	pibet pīta pītvā pāhi pātu pibat peya piba pibanti pibati pāta pāti pītaye pibatam apibat pātum pibā pāntu papau pāhi pīyate pātavya papuḥ pāsyati pīyamāna pītavat pātam pāsi pātave pibata papivas pātam pibāmi apām pānti pibatu apibaḥ pānīya pibadhyai pibasi pāsyāmi pāyam pibeyuḥ pibantu pāsyanti pāyāt apāḥ apāma pibate pīyatām pibāthaḥ pāsyasi pibeyam apiban apāt pibasva pātā apāyi pitvaḥ pātām pibāmaḥ pibante pītvī apāt pibadhvam pāta pāthaḥ pātha pāt pātum apuḥ pāsyāmahe papīyāt pātu peyāḥ pibāt pātā pibataḥ pibeḥ pibāva pibatām apibam pāsyāmaḥ papathuḥ papatuḥ pāsye pāsyate pibase apibanta pibaḥ pātāsmi pīyeta pape papire pibāsi pibāti apāḥ pibāva pibātaḥ pibat pāḥ papātha piban pāthaḥ pibamāna pibāna pātavai pānt papāna pipāna pāmi pāvaḥ pātaḥ pāsyāmi pāsati pibāḥ pāthana pāsataḥ pātana pāna 
pāṭay	pāṭita pāṭayitvā pāṭayet pāṭayat pāṭya pāṭyamāna pāṭayāmāsa pāṭaya apāṭayat pāṭyete pāṭayati pāṭayāma apāṭayam pāṭyase pāṭyate pāṭyante pāṭayiṣye pāṭitavat pāṭayitum 
pāṭhay	pāṭhya pāṭhayet pāṭhayat pāṭhayati pāṭhita pāṭhayāmi pāṭhayanti apāṭhayat pāṭhyate pāṭhayitvā pāṭhyamāna 
pācay	pācayet pācita pācya pācayitvā pācayati pācayat pācayeta pācayitum pācyamāna pācyate pācayeyuḥ apācayan 
pātay	pātita pātayet apātayat pātayāmāsa pātayat pātya pātyamāna pātaya pātayitvā pātayati pātayiṣyāmi pātayanti pātyate apātayan pātayiṣyati pātayeyam pātyante pātayiṣye pātayāmi pātayat pātayitum pātayāmaḥ apātayam pātayāmāsuḥ pātayate pātayadhvam apātayata pātitavat pātanīya pātayiṣyasi pātayasva apātayanta pātayan pātya pātayāna pātayasi pātayeyuḥ apātayatām pātayatu pātayata pātayantu pātayiṣyataḥ pātayiṣyāmaḥ pātyase pātayāmāsa pātayāṃbabhūva pātayāmāsatuḥ pātaye pātayante pātayeta pātyatām pātyetām pātyantām pātayāṃcakrire pātayitāsmi pātayitā apātyata pātayāmasi pātayātha pātayitavya pātyat 
pāday	pādayāmi pādayet pādaya pādayati apādayat pādayāthaḥ pādayāti pādayasva pādayat 
pāyay	pāyayet pāyayeta pāyita pāyayitvā pāyayati apāyayat pāyaya pāyayāmāsa pāyayitāsmi pāyayate pāyayat pāyya pāyayanti pāyayeyuḥ apāyayam pāyayan pāyayiṣyasi pāyayiṣyati pāyayāmāsuḥ pāyyante pāyyatām apāyayata pāyayāmasi pāyayitavya pāyayitum 
pāray	pārayat pāraya pāryate pārayāmasi pārita pārayitvā pārayantu apārayat pārayāmi pārayanti apārayan pārayiṣyāmi pārayiṣyanti pārayate pārayāmāsa pārayāti pārayāt pārayathaḥ pārayatha pārayet pārayatu pārayatam pārayiṣyasi pāryante pārayasva pārayiṣyat pārya pāritum 
pālay	pālita pālayat pālayet pālaya pālayāmāsa apālayat pālyamāna pālayiṣyati pālayitvā pālayati pālayasva pālayate pālya pālayiṣyāmi pālayanti pālayitum pālanīya pālayāmi apālayan pālyate pālayiṣyasi pālayiṣyanti pālyatām pālayantu pālayāna pālayeḥ pālayasi pālayata pālayadhvam pālayase pālayitā pālayāṃcakrire pālayiṣyat pālayāmaḥ pālayeyam pālayeyuḥ pālayatu pālayatam pālayatām pālayethām pālaye pālayāṃbabhūva pālayāmāsuḥ pālayitāsi pālayiṣyante apīpalat pālya pālitum pālitavat 
piṇḍay	piṇḍita piṇḍayitvā piṇḍayet piṇḍitavya 
pinv	pinvamāna pinvanti pinvate pinvatam pinva apinvatam pinvat apinvat pinvasi pinvathaḥ pinvata apinvaḥ pinvase pinvasva apinvata pinvati pinvataḥ pinvatām apinvam apinvata pinvatām pinvadhvam pipinvathuḥ pinvanta pinvat 
piṣ	piṣṭvā piṣṭa peṣya pipeṣa piṃṣyāt piṇak pinaṣmi pinaṣṭi piṣyate piṃṣe piṃṣat piṣat piṣet piṃṣāmi piṣṭata apiṃṣan apiṣan pipiṣe apīṣan pinaṣṭana peṣṭavya peṣaṇīya piṣya piṣyat 
piś	piṃśatu pipiśe apiṃśata apiṃśat apiṃśan piśita piṃśati piṃśata pipeśa pipiśuḥ pipiśre piśa piṃśate piśāna 
pī	pīyat pīyati pīyanti 
pīḍay	pīḍita pīḍyamāna pīḍayet pīḍayat pīḍyate apīḍayat pīḍayāmāsa pīḍayati pīḍayitvā pīḍyante pīḍayanti pīḍya apīḍayan pīḍanīya pīḍayāmāsuḥ pīḍayitum pīḍya pīḍaya pīḍayate pīḍyantām pīḍayitavya pīḍayāmi pīḍayasi pīḍayāmaḥ pīḍayeḥ pīḍayeyuḥ pīḍayiṣyati pīḍayiṣyanti pīḍyāmahe pīḍayāṃcakratuḥ apīḍayata apīḍayetām apīḍyata apīḍyanta pīḍyeta pīḍyāmaḥ pīḍayan pīḍayamāna pīḍayāna 
puṭ	puṭet puṭita puṭitvā puṭanīya puṭati puṭat 
puṣ	puṣṭa puṣyati puṣṇāti pupoṣa puṣyanti poṣya puṣyasi puṣyat puṣṇanti puṣṇāmi puṣyata puṣṇat puṣyataḥ pupuṣuḥ puṣyamāṇa puṣyase puṣyantu pupuṣatuḥ puṣyate puṣaḥ puṣema puṣyāt puṣyatha puṣyema puṣyatu apuṣyat puṣṇāsi puṣṇīmaḥ puṣyante puṣṇīyām puṣṇīyāt puṣṇantu apuṣāva poṣati poṣeta puṣāṇa pupuṣyāḥ poṣitavya poṣaṇīya poṣṭum pupuṣvas 
pū	pūta pavamāna pavasva punāna pavate punāti punantu punanti pūyamāna pūyate pūyante pavase pavante punātu punat punīhi punīte pavatām pavantām punate punītana punāmi punīta punīdhvam punīmahe punate paviṣṭa pūtvā apunāt apunan apāviṣuḥ punītām pūyase pavadhvam apavathāḥ apavanta punīṣe punīṣva pupuve punītāt apupot pava pavāte punāta pavitum pūya pavat pupūtani pūtvī 
pūjay	pūjita pūjayet pūjya pūjayitvā pūjayāmāsa pūjyamāna pūjyate pūjayat apūjayan pūjanīya pūjayanti pūjya apūjayat pūjayāmi pūjyante pūjaya pūjayati pūjayiṣyati pūjayiṣyāmaḥ pūjayiṣyanti pūjayāmāsuḥ pūjayate pūjayadhvam pūjayāṃcakrire pūjayāna pūjyatām pūjayitum pūjayāmāsatuḥ pūjayethāḥ pūjayāmaḥ apūjayam pūjyantām pūjayeta pūjayasva pūjayitavya pūjayeyuḥ pūjayiṣyāmi pūjayante pūjayiṣyat pūjayasi pūjayāvaḥ pūjyase pūjayāṃcakruḥ pūjayāṃcakre pūjaye pūjayāvahe apūjayetām apūjayanta pūjayan pūjitavya pūjitavat pūjayeyam pūjayeḥ pūjayema pūjayantu pūjayiṣyatha pūjayase pūjayeran apūjayata pūjayiṣye pupūjire pūjayat pūjayiṣyāma 
pūray	pūrita pūrayet pūrayitvā pūrayat apūrayat pūrayāmāsa pūryate pūrayati pūrya pūrayitum pūraya pūrayanti pūryante pūrayāmi apūrayan pūrayiṣyati pūrayāmāsuḥ pūryatām pūrayeyam pūrya apūrayam pūrayasva pūrayat pūrayitavya pūraṇīya pūrayāmaḥ pūrayate pūrayantu pūrayiṣyanti pūrayāmāsatuḥ pūryantām pūrayāṃcakre pūrayan pūrayātha pūrayāna 
