aṁa, aṁ a
avyagrastān, avyagra tad
avyagraste, avyagra tad
avyagrāṁśca, avyagra ca
avyagrāstad, avyagra tad
avyaṅgatām, avyaṅga tā
avyaṅgapiḍakaṁ, avyaṅga piḍaka
avyaṅgamukhīṁ, avyaṅga mukha
avyaṅgarūpāya, avyaṅga rūpa
avyaṅgāṅgāya, avyaṅga aṅga
avyaṅgāṅgīṁ, avyaṅga aṅga
avyaṅgāvayavaṁ, avyaṅga avayava
avyaṅgāvayavairbrahman, avyaṅga avayava brahman
avyajayostu, avi aja tu
avyañjayataḥ, a vyañjay
avyathitaḥ, a vyath
avyathito, a vyath
avyathīḥ, a vyathi
avyanac, a vyan
avyapadeśyam, a vyapadiś
avyabhicaritavyādhighātakatvaṁ, avyabhicarita vyādhi ghātaka tva
avyabhicaritasvātantryaśaktimahimnā, avyabhicarita svātantrya śakti mahiman
avyabhicārilakṣaṇaṁ, avyabhicārin lakṣaṇa
avyayatvācca, avyaya tva ca
avyayatve, avyaya tva
avyayabrahmasamparkād, avyaya brahman samparka
avyayasañjñaṁ, avyaya saṁjñā
avyayasañjñāni, avyaya saṁjñā
avyayasarvanāmnām, avyaya sarvanāman
avyayasyāprameyasya, avyaya aprameya
avyayātmā, avyaya ātman
avyayāścādayo, avyaya ca ādi
avyayībhāvasamāso, avyayībhāva samāsa
avyavacchinnadhāraṁ, avyavacchinna dhārā
avyavacchinnasaṁvittirbhairavaḥ, avyavacchinna saṁvitti bhairava
avyavadānapāramiteyaṁ, avyavadāna pāramitā idam
avyavasitaḥ, a vyavasā
avyavasthātmani, avyavasthā ātman
avyavasthitamatiścaladṛṣṭir, avyavasthita mati cala dṛṣṭi
avyavasthitamaryādair, avyavasthita maryādā
avyavasthitaśītoṣṇasukhā, avyavasthita śīta uṣṇa sukha
avyasanām, a vyasana
avyasanopetaṁ, avyasana upe
avyākaraṇapadam, avyākaraṇa pada
avyākṛtam, a vyākṛ
avyākṛtamidaṁ, avyākṛta idam
avyākṛtasyānantasya, avyākṛta ananta
avyākṛtātpūrvaṁ, avyākṛta pūrvam
avyākṛtān, a vyākṛ
avyādavadyādavakramuravratāyamavantvavasyuṣu, avadya avrata idam avasyu avakram avakram av
avyādhijaṁ, a vyādhi ja
avyādhijaṁ, avyādhi ja
avyādhitaṁ, a vyādhita
avyāpakatvādidharmayuktaṁ, avyāpakatva ādi dharma yuj
avyāpakebhyastenedaṁ, avyāpaka tad idam
avyāpannaśukraśoṇitagarbhāśayayoḥ, avyāpanna śukra śoṇita garbhāśaya
avyāpannānāmṛtūnāṁ, avyāpanna ṛtu
avyāpannena, a vyāpad
avyāpannendriyaṁ, avyāpanna indriya
avyāpanneṣvṛtuṣvavyāpannā, ṛtu ṛtu avyāpanna
avyāpādo, a vyāpāda
avyāpāraḥ, a vyāpāra
avyāpāritasādhustu, avyāpārita sādhu tu
avyāpitvād, avyāpin tva
avyāptā, a vyāp
avyāptuś, a vyāptṛ
avyāpyasāraṁ, avyāpin asāra
avyālādibhayaṁ, avyāla ādi bhaya
avyāviddhasiraṁ, avyāviddha sirā
avyāhatagatirdhīraḥ, avyāhata gati dhīra
avyāhatajñānaḥ, avyāhata jñāna
avyāhatatvaṁ, avyāhata tva
avyāhatatvāc, avyāhata tva
avyāhatadṛṣṭyā, avyāhata dṛṣṭi
avyāhataparaiśvaryo, avyāhata para aiśvarya
avyāhatabala, avyāhata bala
avyāhatamatir, avyāhata mati
avyāhatavibhāgo, avyāhata vibhāga
avyāhatākhilendriyaścākhilapāpamokṣam, avyāhata indriya indriya ca akhila pāpa mokṣa
avyāhatārogyaśrībalaparākramo, avyāhata ārogya śrī bala parākrama
avyāhateṣṭagatayaḥ, avyāhata gati iṣ
avyāhataiva, avyāhata eva
avyāhataiścetayate, avyāhata cetay
avyāhataiśvaryaṁ, avyāhata aiśvarya
avyāhataiśvaryam, avyāhata aiśvarya
avyāharaṁś, a vyāhṛ
avyāharati, a vyāhṛ
avyāhāvām, a vyāhāva
avyucchittir, a vyucchitti
avyucchinnapravāho, avyucchinna pravāha
avyucchinnamiti, avyucchinna iti
avyucchinnahetukriyālakṣaṇā, avyucchinna hetu kriyā lakṣaṇa
avyucchinnānāhataparamārthair, avyucchinna anāhata paramārtha
avyucchettāsmi, avyucchettṛ as
avyutkrāntāśca, a ca vyutkram
avyutthānena, a vyutthāna
avyuṣṭā, a vivas
avyū
avyūhatārjuno, arjuna vyūh
avyūhāviṣṭambhavibhutvāni, avyūha aviṣṭambha vibhu tva
avyṛddhir, a vyṛddhi
avraṇatvaṁ, avraṇa tva
avraṇapadaṁ, avraṇa pada
avrañchucayaḥ, śuci vṛ
avratātaptatapasaḥ, avrata atapta tapas
avratopetā, avrata upe
avlīyamānaṁ, a vlī
aṣaḍakṣāśitaṅgvalaṅkarmālampuruṣādhyuttarapadāt, a ṣaṣ akṣa āśitaṁgu alaṁkarman alaṁpuruṣa adhi uttara pada
aṣaṣṭhyatṛtīyāsthasya, ṣaṣṭhī ṣaṣṭhī a tṛtīyā stha
aṣā
aṣāḍhaṁ, a sah
aṣṭakaparāmarśe, aṣṭaka parāmarśa
aṣṭakaśca, aṣṭaka ca
aṣṭakastvatha, aṣṭaka tu atha
aṣṭakādhikamādhikyaṁ, aṣṭaka adhika ādhikya
aṣṭakāpatayaḥ, aṣṭakā pati
aṣṭakāvad, aṣṭakā vat
aṣṭakāhaṁ, aṣṭaka mad
aṣṭakāhoma, aṣṭakā homa
aṣṭakṛtvo, aṣṭan kṛtvas
aṣṭakoṭyastvatha, aṣṭan koṭi tu atha
aṣṭakṣetrāṣṭarūpāya, kṣetra kṣetra aṣṭan rūpa
aṣṭaguṇajaladānenāṣṭāvaśeṣe, aṣṭaguṇa jala dāna aṣṭan avaśeṣa
aṣṭaguṇatvaṁ, aṣṭaguṇa tva
aṣṭaguṇalohacūrṇe, aṣṭaguṇa loha cūrṇa
aṣṭaguṇāyaḥprakāśarājijīrṇā, aṣṭaguṇa ayas prakāśa rāji jṛ
aṣṭaguṇitaṁ, aṣṭan guṇay
aṣṭaguṇite, aṣṭan guṇay
aṣṭaguṇaiścāmlaiḥ, aṣṭaguṇa ca amla
aṣṭaguñjārasena, aṣṭan guñjā rasa
aṣṭaguñjāvadhiṁ, aṣṭan guñjā avadhi
aṣṭaguñjāvadhir, aṣṭan guñjā avadhi
aṣṭaghaṇṭāṁ, aṣṭan ghaṇṭā
aṣṭacakraṁ, aṣṭan cakra
aṣṭacakrasamāyuktaṁ, aṣṭan cakra samāyuj
aṣṭacakrasamāyuktam, aṣṭan cakra samāyuj
aṣṭacakrāṁ, aṣṭan cakra
aṣṭacakreṇa, aṣṭan cakra
aṣṭacatvāriṁśadadhikadviśatatamo, aṣṭacatvāriṁśat adhika dviśatatama
aṣṭacatvāriṁśaddantīdravantyoḥ, aṣṭacatvāriṁśat dantī dravantī
aṣṭacchadeṣv, aṣṭan chada
aṣṭatattvāya, aṣṭan tattva
aṣṭatalotsedhāṁ, aṣṭan tala utsedha
aṣṭatriṁśatkalādehaṁ, aṣṭatriṁśat kalā deha
aṣṭadaṁṣṭrān, aṣṭan daṁṣṭra
aṣṭadaṇḍād, aṣṭan daṇḍa
aṣṭadaleṣvete, aṣṭadala etad
aṣṭadaleṣvete, aṣṭan dala etad
aṣṭadikṣu, aṣṭan diś
aṣṭadikṣvaṣṭakuṇḍeṣu, diś diś aṣṭan kuṇḍa
aṣṭadigbhāñji, aṣṭan diś bhāj
aṣṭadināntareṇa, aṣṭan dina antara
aṣṭadoṣavinirmuktaḥ, aṣṭan doṣa vinirmuc
aṣṭadroṇaghṛtenaiva, aṣṭan droṇa ghṛta eva
aṣṭadroṇairathāpi, aṣṭan droṇa atha api
aṣṭadhātukīti, aṣṭadhātuka iti
aṣṭadhātmasvarūpāya, aṣṭadhā ātman svarūpa
aṣṭadhānupalabdhiḥ, aṣṭadhā anupalabdhi
aṣṭadhānyābhrakapalāni, aṣṭan dhānyābhraka pala
aṣṭadhāram, aṣṭan dhārā
aṣṭadhvajaṁ, aṣṭan dhvaja
aṣṭanavamyoḥ, aṣṭan navamī
aṣṭanimeṣakam, aṣṭan nimeṣaka
aṣṭaniṣkābhrasatvaṁ, aṣṭan niṣka abhra sattva
aṣṭapañcāśataṁ, aṣṭan pañcāśat
aṣṭapañcāśataṁ, aṣṭan pañcāśata
aṣṭapatraṁ, aṣṭan pattra
aṣṭapatram, aṣṭan pattra
aṣṭapatre, aṣṭan pattra
aṣṭapadaṁ, aṣṭan pada
aṣṭaparvaṁ, aṣṭan parva
aṣṭapalaṁ, aṣṭan pala
aṣṭapādaṁ, aṣṭan pāda
aṣṭapuṣpādi, aṣṭan puṣpa ādi
aṣṭapuṣpaiśca, aṣṭan puṣpa ca
aṣṭaprakāraṁ, aṣṭan prakāra
aṣṭaprakārasya, aṣṭan prakāra
aṣṭaprotisaṁghātyā, aṣṭan proti saṁghātya
aṣṭaphalakam, aṣṭan phalaka
aṣṭabāhuṁ, aṣṭan bāhu
aṣṭabāhurmahāvakṣā, aṣṭan bāhu mahat vakṣas
aṣṭabhāgaṁ, aṣṭan bhāga
aṣṭabhāgapippalīkaṁ, aṣṭan bhāga pippalīkā
aṣṭabhāgam, aṣṭan bhāga
aṣṭabhāgamadhusamprayuktaṁ, aṣṭan bhāga madhu samprayuj
aṣṭabhāgamiha, aṣṭan bhāga iha
aṣṭabhāgasthitaṁ, aṣṭan bhāga sthā
aṣṭabhāgasthite, aṣṭan bhāga sthā
aṣṭabhāgahīnaṁ, aṣṭan bhāga hā
aṣṭabhāgāḥ, aṣṭan bhāga
aṣṭabhāgāvaśiṣṭe, aṣṭan bhāga avaśiṣ
aṣṭabhāgāvaśeṣaṁ, aṣṭan bhāga avaśeṣa
aṣṭabhāgikaṁ, aṣṭan bhāgika
aṣṭabhāge, aṣṭan bhāga
aṣṭabhāgena, aṣṭan bhāga
aṣṭabhāgeṣu, aṣṭan bhāga
aṣṭabhirmaricairyuktaḥ, aṣṭan marica yuj
aṣṭabhirmaricairyuktā, aṣṭan marica yuj
aṣṭabhirmāsairādāyāpo, aṣṭan māsa ap ādā
aṣṭabhiśca, aṣṭan ca
aṣṭabhiścātha, aṣṭan ca atha
aṣṭabhiścāyutaṁ, aṣṭan ca ayuta
aṣṭabhistaiḥ, aṣṭan tad
aṣṭabhujāyai, aṣṭan bhuja
aṣṭamaṇḍalasaṁyukte, aṣṭan maṇḍala saṁyuj
aṣṭamaṇḍalikaṁ, aṣṭan maṇḍalikā
aṣṭamarāśau, aṣṭama rāśi
aṣṭamaśeṣite, aṣṭama śeṣay
aṣṭamastvaditeḥ, aṣṭama tu aditi
aṣṭamasyāhna, aṣṭama ahar
aṣṭamāṁśaṁ, aṣṭama aṁśa
aṣṭamāṁśaprakāreṇa, aṣṭama aṁśa prakāra
aṣṭamāṁśam, aṣṭama aṁśa
aṣṭamāṁśayutaṁ, aṣṭama aṁśa yuta
aṣṭamāṁśaśca, aṣṭama aṁśa ca
aṣṭamāṁśena, aṣṭama aṁśa
aṣṭamādyuvayorgarbhānmṛtyurme, aṣṭama tvad garbha mṛtyu mad
aṣṭamāsaṁ, aṣṭan māsa
aṣṭamāsaphalaṁ, aṣṭan māsa phala
aṣṭamāsāṁś, aṣṭan māsa
aṣṭamīcandrake, aṣṭamī candraka
aṣṭamīcandrakaumudīsuvasantakādiṣu, aṣṭamī candra kaumudī suvasantaka ādi
aṣṭamīcandrikādiṣu, aṣṭamī candrikā ādi
aṣṭamīti, aṣṭama iti
aṣṭamīdvitayaṁ, aṣṭamī dvitaya
aṣṭamīnavamīrātrau, aṣṭamī navamī rātri
aṣṭamīnavamīsaṁdhyāmadhyarātridineṣu, aṣṭamī navamī saṁdhyā madhyarātri dina
aṣṭamīyajñaparatā, aṣṭamī yajña para tā
aṣṭamūrtimamuṁ, aṣṭamūrti adas
aṣṭamūrtirahaṁ, aṣṭan mūrti mad
aṣṭamūrtirviśvamūrtistrivargaḥ, aṣṭamūrti viśvamūrti trivarga
aṣṭamūrteradhiṣṭhānamataḥ, aṣṭamūrti adhiṣṭhāna atas
aṣṭamūrterananyatvaṁ, aṣṭamūrti ananya tva
aṣṭamūrterjagadvyāpya, aṣṭamūrti jagant vyāp
aṣṭamūrterna, aṣṭamūrti na
aṣṭamūrtermaheśasya, aṣṭamūrti maheśa
aṣṭamūrtestu, aṣṭamūrti tu
aṣṭame, aṣṭama aṣṭama
aṣṭamoddiṣṭasya, aṣṭama uddiś
aṣṭamyantaṁ, aṣṭamī anta
aṣṭamyantarasaddharmavaktā, aṣṭamī antara saddharma vaktṛ
aṣṭamyamāvāsyayoge, aṣṭamī amāvāsya yoga
aṣṭamyāṁvā, aṣṭamī vā
aṣṭamyādiṣu, aṣṭamī ādi
aṣṭamyāmapi, aṣṭamī api
aṣṭayāmaṁ, aṣṭan yāma
aṣṭaraśmigṛhaṁ, aṣṭan raśmi gṛha
aṣṭaraśmiśanestattu, aṣṭan raśmi śani tad tu
aṣṭarātraṁ, aṣṭan rātra
aṣṭarcam, aṣṭan ṛca
aṣṭarcān, aṣṭan ṛca
aṣṭalakṣaṇoktaṁ, aṣṭan lakṣaṇa vac
aṣṭalakṣapramāṇe, aṣṭan lakṣa pramāṇa
aṣṭalohābhidho, aṣṭaloha abhidhā
aṣṭalohe, aṣṭan loha
aṣṭavargaṁ, aṣṭan varga
aṣṭavargāny, aṣṭan varga
aṣṭavarṇaṁ, aṣṭan varṇa
aṣṭavarṇasuvarṇasya, aṣṭan varṇa suvarṇa
aṣṭavarṣakākāraḥ, aṣṭan varṣaka ākāra
aṣṭavarṣasahasrāyurdvādaśe, aṣṭan varṣa sahasra āyus dvādaśa
aṣṭavarṣā, aṣṭan varṣa
aṣṭavarṣākṛtiḥ, aṣṭan varṣa ākṛti
aṣṭavarṣādhiko, aṣṭan varṣa adhika
aṣṭavarṣe, aṣṭan varṣa
aṣṭavarṣeṇa, aṣṭan varṣa
aṣṭavarṣo, aṣṭan varṣa
aṣṭavāraṁ, aṣṭan vāra
aṣṭavāram, aṣṭan vāra
aṣṭaviṁśatitīrthāni, aṣṭaviṁśati tīrtha
aṣṭaviṁśatisaṁyutaṁ, aṣṭaviṁśati saṁyuta
aṣṭavikalpo, aṣṭan vikalpa
aṣṭavidharasavīryasya, aṣṭavidha rasa vīrya
aṣṭavimokṣapāramiteyaṁ, aṣṭan vimokṣa pāramitā idam
aṣṭavṛṣo, aṣṭan vṛṣa
aṣṭaṣaṣṭiyojanaśatasahasrāṇi, aṣṭaṣaṣṭi yojana śata sahasra
aṣṭaṣaṣṭiriti, aṣṭaṣaṣṭi iti
aṣṭaṣaṣṭisamākhyāni, aṣṭaṣaṣṭi samākhyā
aṣṭaṣaṣṭhaṁ, aṣṭan ṣaṣṭha
aṣṭaśaktisamāyuktamaṣṭamūrtimajaṁ, aṣṭan śakti aṣṭamūrti aja samāyuj
aṣṭaśataṁ, aṣṭan śata
aṣṭaśatagrāmyā, aṣṭan śata grāmī
aṣṭaśatāḥ, aṣṭan śata
aṣṭaśatān, aṣṭan śata
aṣṭaśato, aṣṭan śata
aṣṭaśaraṁ, aṣṭan śara
aṣṭasaṁkhyā, aṣṭan saṁkhyā
aṣṭasaṁkhyair, aṣṭan saṁkhyā
aṣṭasaṁskāritaṁ, aṣṭan saṁskāray
aṣṭasahasraṁ, aṣṭan sahasra
aṣṭasahasram, aṣṭan sahasra
aṣṭasahasreṇa, aṣṭan sahasra
aṣṭasiddhiḥ, aṣṭan siddhi
aṣṭasiddhipradaṁ, aṣṭan siddhi prada
aṣṭasvetāsu, aṣṭan etad
aṣṭahayānmahājavān, aṣṭan haya mahat java
aṣṭahastaṁ, aṣṭan hasta
aṣṭahastapramāṇaṁ, aṣṭan hasta pramāṇa
aṣṭahastaśca, aṣṭan hasta ca
aṣṭahastāṁ, aṣṭan hasta
aṣṭahastena, aṣṭan hasta
aṣṭāṁgulaṁ, aṣṭan aṅgula
aṣṭāṁgulaparīṇāham, aṣṭan aṅgula parīṇāha
aṣṭāṁśaṁ, aṣṭan aṁśa
aṣṭāṁśaśiṣṭaṁ, aṣṭan aṁśa śiṣ
aṣṭāṁśaśeṣitarasena, aṣṭan aṁśa rasa śeṣay
aṣṭāṁśasasyakopetaṁ, aṣṭan aṁśa sasyaka upe
aṣṭāṁśahemni, aṣṭan aṁśa heman
aṣṭāṁśena, aṣṭan aṁśa
aṣṭākapālaviprāṇāṁ, aṣṭākapāla vipra
aṣṭākṣaraṁ, aṣṭan akṣara
aṣṭākṣaravidaṁ, aṣṭan akṣara vid
aṣṭākṣarasthito, aṣṭan akṣara sthā
aṣṭākṣarasvarūpeṇa, aṣṭan akṣara svarūpa
aṣṭākṣarā, aṣṭan akṣara
aṣṭākṣarāṅkitā, aṣṭan akṣara aṅkay
aṣṭākṣarāṇīha, aṣṭan akṣara iha
aṣṭākṣarāntaḥsthaṁ, aṣṭan akṣara antaḥstha
aṣṭākṣarānmantrāt, aṣṭan akṣara mantra
aṣṭākṣarīṁ, aṣṭan akṣara
aṣṭākṣareṇa, aṣṭan akṣara
aṣṭākṣaro, aṣṭan akṣara
aṣṭāṅgaṁ, aṣṭan aṅga
aṣṭāṅgaḥ, aṣṭan aṅga
aṣṭāṅgajñaḥ, aṣṭāṅga jña
aṣṭāṅgadaṇḍapraṇatiṁ, aṣṭāṅga daṇḍa praṇati
aṣṭāṅgapīḍāni, aṣṭāṅga pīḍā
aṣṭāṅgapraṇipātenatridhā, aṣṭāṅga praṇipāta tridhā
aṣṭāṅgamarghyaṁ, aṣṭāṅga arghya
aṣṭāṅgamārgadeśikānāṁ, aṣṭan aṅga mārgadeśika
aṣṭāṅgamārgadeśikānāṁ, aṣṭāṅga mārga deśika
aṣṭāṅgalavaṇaṁ, aṣṭan aṅga lavaṇa
aṣṭāṅgavijñānāt, aṣṭan aṅga vijñāna
aṣṭāṅgavaidyakamahodadhimanthanena, aṣṭāṅga vaidyaka mahodadhi manthana
aṣṭāṅgasaṁgrahoktānāṁ, aṣṭāṅgasaṁgraha vac
aṣṭāṅgasaṁyuktā, aṣṭan aṅga saṁyuj
aṣṭāṅgasya, aṣṭan aṅga
aṣṭāṅgahṛdayaṭīkāyāṁ, aṣṭāṅgahṛdaya ṭīkā
aṣṭāṅgā, aṣṭan aṅga
aṣṭāṅgāyāṁ, aṣṭan aṅga
aṣṭāṅgikā, aṣṭan aṅgika
aṣṭāṅgulaṁ, aṣṭan aṅgula
aṣṭāṅgulagarbhavistāraṁ, aṣṭan aṅgula garbha vistāra
aṣṭāṅgulaparimāṇadīrghāṁ, aṣṭan aṅgula parimāṇa dīrgha
aṣṭāṅgulaparīṇāham, aṣṭan aṅgula parīṇāha
aṣṭāṅgulaparīṇāhamānāhena, aṣṭan aṅgula parīṇāha ānāha
aṣṭāṅgulapramāṇena, aṣṭan aṅgula pramāṇa
aṣṭāṅgulam, aṣṭan aṅgula
aṣṭāṅgulamitā, aṣṭan aṅgula mā
aṣṭāṅgulamukhaṁ, aṣṭan aṅgula mukha
aṣṭāṅgulamūṣāṁ, aṣṭan aṅgula mūṣā
aṣṭāṅgulavistāraṁ, aṣṭan aṅgula vistāra
aṣṭāṅgulavistīrṇaṁ, aṣṭan aṅgula vistṛ
aṣṭāṅgulavistīrṇasya, aṣṭan aṅgula vistṛ
aṣṭāṅgulavistṛtaṁ, aṣṭan aṅgula vistṛ
aṣṭāṅgulā, aṣṭan aṅgula
aṣṭāṅgulāni, aṣṭan aṅgula
aṣṭāṅgulāyatas, aṣṭan aṅgula āyam
aṣṭāṅgulāyatā, aṣṭan aṅgula āyam
aṣṭāṅgulāyāmā, aṣṭan aṅgula āyāma
aṣṭāṅgulāvaṭī, aṣṭan aṅgula avaṭi
aṣṭāṅguliṁ, aṣṭan aṅguli
aṣṭāṅgulidhūliṁ, aṣṭan aṅguli dhūli
aṣṭāṅgulimānāṁ, aṣṭan aṅguli māna
aṣṭāṅgulo, aṣṭan aṅgula
aṣṭāṅgulottarā, aṣṭan aṅgula uttara
aṣṭāṅgulau, aṣṭan aṅgula
aṣṭāṅge, aṣṭan aṅga
aṣṭāṅgenaiva, aṣṭāṅga eva
aṣṭāṅgo, aṣṭan aṅga
aṣṭāṅgopetasya, aṣṭāṅga upe
aṣṭācatvāriṁśadakṣarā, aṣṭācatvāriṁśat akṣara
aṣṭācatvāriṁśadvarṣāṇi, aṣṭācatvāriṁśat varṣa
aṣṭātmakaṁ, aṣṭan ātmaka
aṣṭātmako, aṣṭan ātmaka
aṣṭātriṁśadadhikāḥ, aṣṭātriṁśat adhika
aṣṭādaśakriyā, aṣṭādaśan kriyā
aṣṭādaśadinād, aṣṭādaśan dina
aṣṭādaśadheti, aṣṭādaśadhā iti
aṣṭādaśapadaḥ, aṣṭādaśan pada
aṣṭādaśapurāṇānāṁ, aṣṭādaśan purāṇa
aṣṭādaśaprakāreṇa, aṣṭādaśan prakāra
aṣṭādaśabhujaṁ, aṣṭādaśan bhuja
aṣṭādaśabhujā, aṣṭādaśan bhuja
aṣṭādaśabhujāṁ, aṣṭādaśan bhuja
aṣṭādaśabhujānādyā, aṣṭādaśan bhuja anādya
aṣṭādaśabhyastu, aṣṭādaśan tu
aṣṭādaśamuhūrtaṁ, aṣṭādaśan muhūrta
aṣṭādaśavakro, aṣṭādaśan vakra
aṣṭādaśavargāṇām, aṣṭādaśan varga
aṣṭādaśavikalpāntāṁ, aṣṭādaśan vikalpa anta
aṣṭādaśaśca, aṣṭādaśa ca
aṣṭādaśasaṁskārā, aṣṭādaśan saṁskāra
aṣṭādaśasaṁskārāḥ, aṣṭādaśan saṁskāra
aṣṭādaśasaṁskārāṇāṁ, aṣṭādaśan saṁskāra
aṣṭādaśasahasrāṇi, aṣṭādaśan sahasra
aṣṭādaśasahasreṣu, aṣṭādaśan sahasra
aṣṭādaśahastād, aṣṭādaśan hasta
aṣṭādaśāṁśabhāgena, aṣṭādaśa aṁśa bhāga
aṣṭādaśākārāṁ, aṣṭādaśan ākāra
aṣṭādaśākṣaramantram, aṣṭādaśan akṣara mantra
aṣṭādaśākṣaramantrasya, aṣṭādaśan akṣara mantra
aṣṭādaśākṣaramantreṇa, aṣṭādaśan akṣara mantra
aṣṭādaśāṅgābhidha, aṣṭādaśan aṅga abhidhā
aṣṭādaśāṅgulaṁ, aṣṭādaśan aṅgula
aṣṭādaśāṅgulapramāṇāni, aṣṭādaśan aṅgula pramāṇa
aṣṭādaśāṅgulamānaṁ, aṣṭādaśan aṅgula māna
aṣṭādaśāṅgulavistāramuraḥ, aṣṭādaśan aṅgula vistāra uras
aṣṭādaśāṅgulā, aṣṭādaśan aṅgula
aṣṭādaśāṅgulāyāmānyāyasāni, aṣṭādaśan aṅgula āyāma āyasa
aṣṭādaśāṅgulotsedhaṁ, aṣṭādaśan aṅgula utsedha
aṣṭādaśātmakaḥ, aṣṭādaśan ātmaka
aṣṭādaśādhikaṁ, aṣṭādaśan adhika
aṣṭādaśādhikaśataṁ, aṣṭādaśan adhika śata
aṣṭādaśānuṣṭubho, aṣṭādaśan anuṣṭubh
aṣṭādaśānuśaṁsā, aṣṭādaśan anuśaṁsa
aṣṭādaśānyeṣu, aṣṭādaśan anya
aṣṭādaśāratnikaṁ, aṣṭādaśan aratnika
aṣṭādaśārṇaṁ, aṣṭādaśan arṇa
aṣṭādaśārṇe, aṣṭādaśan arṇa
aṣṭādaśāvarair, aṣṭādaśan avara
aṣṭādaśāṣṭādaśakān, aṣṭādaśan aṣṭādaśaka
aṣṭādaśāsminn, aṣṭādaśan idam
aṣṭādaśāhāni, aṣṭādaśan ahar
aṣṭādaśāhena, aṣṭādaśan aha
aṣṭādaśeti, aṣṭādaśan iti
aṣṭādaśeme, aṣṭādaśan idam
aṣṭādaśoktam, aṣṭādaśan vac
aṣṭādaśaitāni, aṣṭādaśan etad
aṣṭādaśaiva, aṣṭādaśan eva
aṣṭādaśaivam, aṣṭādaśan evam
aṣṭādi, aṣṭan ādi
aṣṭādhikaṁ, aṣṭan adhika
aṣṭādhikasahasraṁ, aṣṭan adhika sahasra
aṣṭādhikāṁ, aṣṭan adhika
aṣṭādhipatyaṁ, aṣṭan ādhipatya
aṣṭānavatibhāgaṁ, aṣṭānavati bhāga
aṣṭānavatirbhāgāstārasya, aṣṭānavati bhāga tāra
aṣṭānāmiha, aṣṭan iha
aṣṭānucaram, aṣṭan anucara
aṣṭāpadapadasthāne, aṣṭāpada pada sthāna
aṣṭāpadamivālikhya, aṣṭāpada iva ālikh
aṣṭāpadākārāṁ, aṣṭāpada ākāra
aṣṭāparān, aṣṭan apara
aṣṭāpi, aṣṭan api
aṣṭābdād, aṣṭan abda
aṣṭābhirudvamatyeṣā, aṣṭan etad udvam
aṣṭābhirguṇitaṁ, aṣṭan guṇay
aṣṭābhiśca, aṣṭan ca
aṣṭābhiśceṣṭadaṁ, aṣṭan ca iṣṭa da
aṣṭābhistribhir, aṣṭan tri
aṣṭāyataśirogrīvāṁ, aṣṭan śiras grīvā āyam
