Лемма	Тип	Класс	Залог	Форма	Лицо	Число	Время/наклонение	Примеры
niḥsṛ	Verb	1	Ā	niḥsṛta			"Past Passive Participle"	"  145"
vibhaj	Verb	1	Ā	vibhakta			"Past Passive Participle"	"  144"
abhyanujñā	Verb	9	Ā	abhyanujñāta			"Past Passive Participle"	"  143"
namaskṛ	Verb	8	Ā	namaskṛta			"Past Passive Participle"	"  143"
niviś	Verb	6	Ā	niviṣṭa			"Past Passive Participle"	"  142"
samprasthā	Verb	1	Ā	samprasthita			"Past Passive Participle"	"  142"
mil	Verb	6	Ā	milita			"Past Passive Participle"	"  142"
maṇḍay	Denom.	0	Ā	maṇḍita			"Past Passive Participle"	"  142"
carv	Verb	1	Ā	cūrṇa			"Past Passive Participle"	"  141"
muh	Verb	4	Ā	mugdha			"Past Passive Participle"	"  141"
rudh	Verb	6	P.	ruddha			"Past Passive Participle"	"  141"
sambhram	Verb	1	P.	saṃbhrānta			"Past Passive Participle"	"  141"
abhyāgam	Verb	1	P.	abhyāgata			"Past Passive Participle"	"  140"
ādiś	Verb	6	Ā	ādiṣṭa			"Past Passive Participle"	"  140"
āp	Verb	1	P.	āpta			"Past Passive Participle"	"  139"
abhiman	Verb	4	P.	abhimata			"Past Passive Participle"	"  139"
vyūh	Verb	1	Ā	vyūḍha			"Past Passive Participle"	"  139"
saṁdhā	Verb	1	P.	saṃhita			"Past Passive Participle"	"  139"
samādhā	Verb	1	P.	samāhita			"Past Passive Participle"	"  139"
dih	Verb	2	Ā	digdha			"Past Passive Participle"	"  138"
samindh	Verb	2	Ā	samiddha			"Past Passive Participle"	"  138"
anuṣṭhā	Verb	1	Ā	anuṣṭhita			"Past Passive Participle"	"  137"
parityaj	Verb	1	Ā	parityakta			"Past Passive Participle"	"  137"
prasañj	Verb	1	Ā	prasakta			"Past Passive Participle"	"  136"
āplu	Verb	1	P.	āpluta			"Past Passive Participle"	"  135"
parāji	Verb	2	P.	parājita			"Past Passive Participle"	"  135"
prādurbhū	Verb	1	P.	prādurbhūta			"Past Passive Participle"	"  135"
pariṣkṛ	Verb	5	P.	pariṣkṛta			"Past Passive Participle"	"  135"
puṣ	Verb	2	P.	puṣṭa			"Past Passive Participle"	"  134"
antargam	Verb	1	P.	antargata			"Past Passive Participle"	"  134"
vidru	Verb	1	Ā	vidruta			"Past Passive Participle"	"  134"
gal	Verb	1	P.	galita			"Past Passive Participle"	"  133"
bhṛ	Verb	1	Ā	bhṛta			"Past Passive Participle"	"  133"
uddhan	Verb	1	P.	uddhata			"Past Passive Participle"	"  133"
cal	Verb	1	Ā	calita			"Past Passive Participle"	"  132"
nind	Verb	1	Ā	nindita			"Past Passive Participle"	"  132"
śodhay	Verb	10	Ā	śodhita			"Past Passive Participle"	"  131"
samalaṁkṛ	Verb	8	Ā	samalaṃkṛta			"Past Passive Participle"	"  131"
śap	Verb	1	Ā	śapta			"Past Passive Participle"	"  130"
āci	Verb	5	Ā	ācita			"Past Passive Participle"	"  130"
udgam	Verb	6	P.	udgata			"Past Passive Participle"	"  130"
saṁnam	Verb	1	Ā	saṃnata			"Past Passive Participle"	"  129"
jāray	Verb	10	Ā	jārita			"Past Passive Participle"	"  129"
niveday	Verb	10	Ā	nivedita			"Past Passive Participle"	"  129"
plu	Verb	1	P.	pluta			"Past Passive Participle"	"  128"
abhyañj	Verb	7	Ā	abhyakta			"Past Passive Participle"	"  128"
āyat	Verb	1	Ā	āyatta			"Past Passive Participle"	"  128"
vivṛ	Verb	9	P.	vivṛta			"Past Passive Participle"	"  128"
gā	Verb	2	P.	gīta			"Past Passive Participle"	"  127"
atiric	Verb	4	Ā	atirikta			"Past Passive Participle"	"  127"
ukṣ	Verb	6	Ā	ukṣita			"Past Passive Participle"	"  126"
ruh	Verb	6	Ā	rūḍha			"Past Passive Participle"	"  126"
